Loading pretrained word embeddings.
Loading pretrained word embeddings.
mm_batchgen...
Loading images...
Loading images takes: 7.33s

(10000, 32, 32, 3) (2000, 32, 32, 3)
Loading text...
Loading text takes: 10.07s

25000 25000
mm_dataset 0-1
mm_dataset 1-0
mm_dataset 1-1
mm_dataset 2-1
mm_dataset 1-2
mm_dataset 2-0
mm_dataset 2-2
mm_dataset 0-2
mm_dataset 0-1
mm_dataset 1-0
mm_dataset 1-1
mm_dataset 2-1
mm_dataset 1-2
mm_dataset 2-0
mm_dataset 2-2
mm_dataset 0-2
Step 187, 1-1, mm Loss: 0.200743, Accuracy:  56.250000 %
Step 188, 2-1, mm Loss: 0.132165, Accuracy:  62.500000 %
Step 189, 1-2, mm Loss: 0.147667, Accuracy:  43.750000 %
Step 190, 2-0, mm Loss: 0.204096, Accuracy:  68.750000 %
Step 191, 2-2, mm Loss: 0.065537, Accuracy:  62.500000 %
Step 192, 0-2, mm Loss: 0.223458, Accuracy:  25.000000 %
Step 193, 0-1, mm Loss: 0.287030, Accuracy:  37.500000 %
Step 194, 1-0, mm Loss: 0.265637, Accuracy:  43.750000 %
Step 195, 1-1, mm Loss: 0.186645, Accuracy:  68.750000 %
Step 196, 2-1, mm Loss: 0.131563, Accuracy:  75.000000 %
Step 197, 1-2, mm Loss: 0.151910, Accuracy:  18.750000 %
Step 198, 2-0, mm Loss: 0.211073, Accuracy:  37.500000 %
Step 199, 2-2, mm Loss: 0.071397, Accuracy:  37.500000 %
Step 200, 0-2, mm Loss: 0.214309, Accuracy:  50.000000 %
Step 201, 0-1, mm Loss: 0.281712, Accuracy:  50.000000 %
Step 202, 1-0, mm Loss: 0.255960, Accuracy:  68.750000 %
Step 203, 1-1, mm Loss: 0.205414, Accuracy:  43.750000 %
Step 204, 2-1, mm Loss: 0.141405, Accuracy:  43.750000 %
Step 205, 1-2, mm Loss: 0.137178, Accuracy:  56.250000 %
Step 206, 2-0, mm Loss: 0.192148, Accuracy:  68.750000 %
Step 207, 2-2, mm Loss: 0.065283, Accuracy:  75.000000 %
Step 208, 0-2, mm Loss: 0.229122, Accuracy:  43.750000 %
Step 209, 0-1, mm Loss: 0.280115, Accuracy:  43.750000 %
Step 210, 1-0, mm Loss: 0.270446, Accuracy:  56.250000 %
Step 211, 1-1, mm Loss: 0.206800, Accuracy:  43.750000 %
Step 212, 2-1, mm Loss: 0.136278, Accuracy:  68.750000 %
Step 213, 1-2, mm Loss: 0.134702, Accuracy:  50.000000 %
Step 214, 2-0, mm Loss: 0.201039, Accuracy:  62.500000 %
Step 215, 2-2, mm Loss: 0.070651, Accuracy:  43.750000 %
Step 216, 0-2, mm Loss: 0.201080, Accuracy:  68.750000 %
Step 217, 0-1, mm Loss: 0.275294, Accuracy:  50.000000 %
Step 218, 1-0, mm Loss: 0.290160, Accuracy:  31.250000 %
Step 219, 1-1, mm Loss: 0.204488, Accuracy:  56.250000 %
Step 220, 2-1, mm Loss: 0.124457, Accuracy:  87.500000 %
Step 221, 1-2, mm Loss: 0.132596, Accuracy:  62.500000 %
